一	jat1
丁	ding1,zaang1(zang1)
七	cat1
三	saam1,saam3
下	haa6,haa5
上	soeng6,soeng5
丈	zoeng6
丑	cau2
丐	koi3(goi3)
不	bat1,fau2
丕	pei1
丙	bing2
世	sai3
且	ce2,zeoi1(ceoi2),ceoi1(cou4)
丘	jau1
丞	sing4,cing2
丟	diu1
並	bing6(bing3)
丫	aa1(ngaa1)
中	zung1,zung3
串	cyun3,gwaan3
丸	jyun4,jyun2
凡	faan4
丹	daan1
主	zyu2
乃	naai5,oi2
久	gau2
之	zi1
尹	wan5
乍	zaa3(zaa6)
乏	fat6
乎	fu4(wu4),fu1
乒	ping1(bing1)
乓	pong1(bam1)
乖	gwaai1
乘	sing4,sing6
乙	jyut3(jyut6)
九	gau2
也	jaa5
乞	hat1,hei3
乩	gei1
乳	jyu5
乾	gon1,kin4
亂	lyun6
了	liu5(laa1,liu4)
予	jyu5,jyu4
事	si6
二	ji6
于	jyu4(jyu1)
云	wan4
井	zing2(zeng2)
互	wu6
五	ng5
亙	gang2
些	se1,so3(sai3,so1)
亞	aa3(ngaa3)
亟	kei3,gik1
亡	mong4,mou4,mong1
交	gaau1
亦	jik6
亥	hoi6
亨	hang1,paang1,hoeng2
享	hoeng2
京	ging1,jyun4
亭	ting4
亮	loeng6
人	jan4
仁	jan4
什	sap6(zaap6),sam6
仃	ding1
今	gam1
仄	zak1
仆	fu6(puk1),buk6
仇	sau4(cau4),kau4
仍	jing4
介	gaai3,gaa3
付	fu6
仔	zi2,zai2,zi1
仕	si6
他	taa1(to1)
仗	zoeng6,zoeng3
代	doi6
令	ling6,ling4,ling1(lim1,ling5)
仞	jan6
以	ji5
仙	sin1
仿	fong2,pong4
伉	kong3
伙	fo2
伊	ji1
伕	fu1
伍	ng5
伐	fat6
休	jau1,nau2,jyu3(heoi2)
伏	fuk6(buk6)
任	jam6,jam4
仳	pei2
仲	zung6
企	kei5(kei2)
件	gin6
仰	joeng5(ngong5)
份	fan6,ban1
位	wai6(wai2)
住	zyu6
佇	cyu5
佗	to1(taa1),to4
伴	bun6(pun5)
佞	ning6
佛	fat6,bat6,fat1
何	ho4,ho6
估	gu2,gu3
佐	zo3
佑	jau6
佈	bou3
伽	ke4,gaa1
伺	zi6(si6)
伸	san1
佃	din6(tin4)
佔	zim3,cim1(zim1)
似	ci5
但	daan6
佣	jung2(jung6),jung4
作	zok3
你	nei5
伯	baak3,baa3
低	dai1
伶	ling4
余	jyu4
佝	kau3(gau1,keoi1)
佯	joeng4
依	ji1
併	bing3(ping3),bing6
侍	si6
佳	gaai1
使	si3,si2(sai2)
佬	lou2,lou5,liu4
供	gung3,gung1
例	lai6
來	loi4(lai4),loi6
佰	baak3,mak6
侃	hon2(hon3)
侈	ci2
佩	pui3
佻	tiu4(tiu1)
侖	leon4
侏	zyu1
信	seon3,san1
侵	cam1
侯	hau4
便	bin6(bin2),pin4
俠	haap6(hap6)
俑	jung2(jung5)
俏	ciu3
保	bou2
促	cuk1
侶	leoi5
俚	lei5
俘	fu1
俟	zi6,kei4
俊	zeon3
俗	zuk6
侮	mou5
俐	lei6
俄	ngo4
係	hai6
俎	zo2
俞	jyu4(jyu6),syu3
倌	gun1
倍	pui5(bui3)
倣	fong2
俯	fu2
倦	gyun6
倥	hung2(hung3),hung1
